"ID";"SEARCH_KEY";"BOOK_TITLE";"BOOK_SUBTITLE";"BOOK_AUTHORS";"BOOK_PUBLISHER";"BOOK_DESCRIPTION";"BOOK_INDUSTRYIDENTIFIERS";"TEXT_READINGMODE";"IMAGE_READINGMODE";"PAGECOUNT";"CATEGORIES";"LANGUAGE";"IMAGELINKS";"COUNTRY";"SALEABILITY";"ISEBOOK";"RATINGS_COUNT";"AVERAGE_RATING";"AMOUNT_LISTPRICE";"CURRENCYCODE_LISTPRICE";"AMOUNT_RETAILPRICE";"CURRENCYCODE_RETAILPRICE";"BUYLINK";"PUBLICATION_YEAR"
"_g6fDwAAQBAJ";"PYTHON";"Python GUI Programming - A Complete Reference Guide";"Develop responsive and powerful GUI applications with PyQt and Tkinter";"['Alan D. Moore', 'B. M. Harwani']";"Packt Publishing Ltd";"Explore Python’s GUI frameworks and create visually stunning and feature-rich applications Key FeaturesIntegrate stunning data visualizations using Tkinter Canvas and MatplotlibUnderstand the basics of 2D and 3D animation in GUI applicationsExplore PyQt’s powerful features to easily design and customize your GUI applicationsBook Description A responsive graphical user interface (GUI) helps you interact with your application, improves user experience, and enhances the efficiency of your applications. With Python, you’ll have access to elaborate GUI frameworks that you can use to build interactive GUIs that stand apart from the rest. This Learning Path begins by introducing you to Tkinter and PyQt, before guiding you through the application development process. As you expand your GUI by adding more widgets, you'll work with networks, databases, and graphical libraries that enhance its functionality. You'll also learn how to connect to external databases and network resources, test your code, and maximize performance using asynchronous programming. In later chapters, you'll understand how to use the cross-platform features of Tkinter and Qt5 to maintain compatibility across platforms. You’ll be able to mimic the platform-native look and feel, and build executables for deployment across popular computing platforms. By the end of this Learning Path, you'll have the skills and confidence to design and build high-end GUI applications that can solve real-world problems. This Learning Path includes content from the following Packt products: Python GUI Programming with Tkinter by Alan D. MooreQt5 Python GUI Programming Cookbook by B. M. HarwaniWhat you will learnVisualize graphs in real time with Tkinter’s animation capabilitiesUse PostgreSQL authentication to ensure data security for your applicationWrite unit tests to avoid regression when updating codeHandle different signals generated on mouse clicks using QSpinBox and slidersEmploy network concepts, internet browsing, and Google Maps in UIUse graphics rendering to implement animations in your GUIWho this book is for If you’re an intermediate Python programmer looking to enhance your coding skills by writing powerful GUIs in Python using PyQT and Tkinter, this is an ideal Learning Path for you. A strong understanding of the Python language is a must to grasp the concepts explained in this book.";"ISBN_13";1;1;730;"['Computers']";"en";"http://books.google.com/books/content?id=_g6fDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"FOR_SALE";1;0;0;1108.01;"INR";554.0;"INR";"https://play.google.com/store/books/details?id=_g6fDwAAQBAJ&rdid=book-_g6fDwAAQBAJ&rdot=1&source=gbs_api";"2019-06-24"
"_GFNjgEACAAJ";"PIPING";"Fitter and Welder Handbook";"Piping Fitter and Welder Handbook";"['Ram Babu Sao', 'Sanjay Kumar Gupta']";"Createspace Independent Publishing Platform";"""Fitters & Welders Handbook"" is a practical guide of Engineering Technique employed by Fitter and Welder engaged in process piping job or final year apprentice preparing for service interview. I do not claim that ""Pipe Fitter & Welder Handbook"" is the final book as a guide for Piping Engineering work. I have tried my best to share the knowledge and experience to make it better for Fitters & Welders whether final year apprentice or fresher in service or working as a junior in construction field and doing the Piping Engineering job. It is easy to grasp the basic knowledge and principles of Piping EngineeringPiping Fitter is the main technical professional who is responsible to deliver the quality job of piping work and he should have sufficient knowledge of Piping Engineering.""Pipe Fitter Handbook"" book has proved to be a friend and guide to many Pipe-Fitters, Contractors, and Technicians working with any Construction Companies and Consultants, who are responsible for Lays out, assembling, installation of piping systems, pipe supports, applying their knowledge of construction experience following blueprints and Select type and size of pipe, and related materials and equipment, such as supports, hangers, and hydraulic cylinders, according to piping drawings and specifications.";"ISBN_10";0;0;0;"['Pipe fitting']";"en";"http://books.google.com/books/content?id=_GFNjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"IN";"NOT_FOR_SALE";0;0;0;0.0;"NA";0.0;"NA";"NA";"2015-09-20"
"_gyCDwAAQBAJ";"JAVA";"1000 Java Interview Questions and Answers";"1000 most important and frequently asked questions and answers to crack interviews";"['Vamsee Puligadda']";"Vamsee Puligadda";"Get that job, you aspire for! Want to switch to that high paying job? Or are you already been preparing hard to give interview the next weekend? Do you know how many people get rejected in interviews by preparing only concepts but not focusing on actually which questions will be asked in the interview? Don't be that person this time. This is the most comprehensive Java language interview questions book that you can ever find out. It contains: 1000 most frequently asked and important JAVA interview questions and answers Wide range of questions which cover not only basics in Java Language but also most advanced and complex questions which will help freshers, experienced professionals, senior developers, testers to crack their interviews.";"NA";0;1;225;"['Computers']";"en";"http://books.google.com/books/content?id=_gyCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"FOR_SALE";1;0;0;206.5;"INR";144.55;"INR";"https://play.google.com/store/books/details?id=_gyCDwAAQBAJ&rdid=book-_gyCDwAAQBAJ&rdot=1&source=gbs_api";"NA"
"_gYJj10iocEC";"PIPING";"Piping and Pipeline Engineering";"Design, Construction, Maintenance, Integrity, and Repair";"['George A. Antaki']";"CRC Press";"Taking a big-picture approach, Piping and Pipeline Engineering: Design, Construction, Maintenance, Integrity, and Repair elucidates the fundamental steps to any successful piping and pipeline engineering project, whether it is routine maintenance or a new multi-million dollar project. The author explores the qualitative details, calculations, and techniques that are essential in supporting competent decisions. He pairs coverage of real world practice with the underlying technical principles in materials, design, construction, inspection, testing, and maintenance. Discover the seven essential principles that will help establish a balance between production, cost, safety, and integrity of piping systems and pipelines The book includes coverage of codes and standards, design analysis, welding and inspection, corrosion mechanisms, fitness-for-service and failure analysis, and an overview of valve selection and application. It features the technical basis of piping and pipeline code design rules for normal operating conditions and occasional loads and addresses the fundamental principles of materials, design, fabrication, testing and corrosion, and their effect on system integrity.";"ISBN_13";1;1;519;"['Technology & Engineering']";"en";"http://books.google.com/books/content?id=_gYJj10iocEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"NOT_FOR_SALE";0;0;0;0.0;"NA";0.0;"NA";"NA";"2003-05-28"
"_H9YAAAAYAAJ";"SQL";"10 Projects You Can Do with Microsoft, SQL Server 7";"NA";"['Karen Watterson', 'Bill Shadish', 'Garth Wells']";"John Wiley & Sons";"Learn Microsoft SQL Server 7 by successfully completing hands-on projects You don't have to be a fortune teller to realize that Microsoft's SQL Server 7 is going to be the most widely used database product on the planet. This book, unlike typical reference books, shows you how to use SQL Server to add value to your business operations. Drawing inspiration from the lab manuals you used in biology and earth science classes, the authors provide step-by-step instructions for accomplishing the kinds of projects you'll want to do with SQL Server. Here's a taste of some of the projects: * How to build an e-commerce site with Site Server Commerce Edition * Implementing a data-driven Intranet with SQL Server and IIS * Creating both single-source and multisource data marts * Working with OLAP Services and a variety of OLAP clients * Writing Visual Basic applications that work with SQL Server Plus two CD-Roms! * CD-ROM 1 contains Microsoft SQL Server 7.0 120-Day Evaluation Edition * CD-ROM 2 contains all the code from the book, example applications, 18 third party Development tools, and links to related Web sites";"OTHER";0;0;710;"['Computers']";"en";"http://books.google.com/books/content?id=_H9YAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"IN";"NOT_FOR_SALE";0;0;0;0.0;"NA";0.0;"NA";"NA";"2000-04-10"
"_i6bDeoCQzsC";"JAVA";"Clean Code";"A Handbook of Agile Software Craftsmanship";"['Robert C. Martin']";"Pearson Education";"Even bad code can function. But if code isn’t clean, it can bring a development organization to its knees. Every year, countless hours and significant resources are lost because of poorly written code. But it doesn’t have to be that way. Noted software expert Robert C. Martin presents a revolutionary paradigm with Clean Code: A Handbook of Agile Software Craftsmanship. Martin has teamed up with his colleagues from Object Mentor to distill their best agile practice of cleaning code “on the fly” into a book that will instill within you the values of a software craftsman and make you a better programmer–but only if you work at it. What kind of work will you be doing? You’ll be reading code–lots of code. And you will be challenged to think about what’s right about that code, and what’s wrong with it. More importantly, you will be challenged to reassess your professional values and your commitment to your craft. Clean Code is divided into three parts. The first describes the principles, patterns, and practices of writing clean code. The second part consists of several case studies of increasing complexity. Each case study is an exercise in cleaning up code–of transforming a code base that has some problems into one that is sound and efficient. The third part is the payoff: a single chapter containing a list of heuristics and “smells” gathered while creating the case studies. The result is a knowledge base that describes the way we think when we write, read, and clean code. Readers will come away from this book understanding How to tell the difference between good and bad code How to write good code and how to transform bad code into good code How to create good names, good functions, good objects, and good classes How to format code for maximum readability How to implement complete error handling without obscuring code logic How to unit test and practice test-driven development This book is a must for any developer, software engineer, project manager, team lead, or systems analyst with an interest in producing better code.";"ISBN_13";1;1;464;"['Computers']";"en";"http://books.google.com/books/content?id=_i6bDeoCQzsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"FOR_SALE";1;2;5;2462.61;"INR";2462.61;"INR";"https://play.google.com/store/books/details?id=_i6bDeoCQzsC&rdid=book-_i6bDeoCQzsC&rdot=1&source=gbs_api";"2008-08-01"
"_IqkJ4xt3nkC";"SQL";"Programming SQL Server 2005";"Prepare for Deeper SQL Server Waters";"['Bill Hamilton']";"""O'Reilly Media, Inc.""";"SQL Server 2005, Microsoft's next-generation data management and analysis solution, represents a huge leap forward. It comes with a myriad of changes that deliver increased security, scalability, and power--making it the complete data package. Used properly, SQL Server 2005 can help organizations of all sizes meet their data challenges head on. Programming SQL Server 2005 from O'Reilly provides a practical look at this updated version of Microsoft's premier database product. It guides you through all the new features, explaining how they work and how to use them. The first half of the book examines the changes and new features of the SQL Server Engine itself. The second addresses the enhanced features and tools of the platform, including the new services blended into this popular version. Each chapter contains numerous code samples-written in C# and compiled using the Visual Studio 2005 development environment-that show you exactly how to program SQL Server 2005. Programming SQL Server 2005 can help you: Build, deploy, and manage enterprise applications that are more secure, scalable, and reliable Maximize IT productivity by reducing the complexity of building, deploying, and managing database applications Share data across multiple platforms, applications, and devices to make it easier to connect internal and external systems Because the goal of Programming SQL Server 2005 is to introduce all facets of Programming SQL Server 2005, it's beneficial to programmers of all levels. The book can be used as a primer by developers with little experience with SQL Server, as a ramp up to the new programming models for SQL Server 2005 for more experienced programmers, or as background and primer to specific concepts. Any IT professional who wants to learn about SQL Server 2005's comprehensive feature set, interoperability with existing systems, and automation of routine tasks will find the answers in this authoritative guide.";"ISBN_13";1;1;590;"['Computers']";"en";"http://books.google.com/books/content?id=_IqkJ4xt3nkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"FOR_SALE";1;3;4;3245.0;"INR";3245.0;"INR";"https://play.google.com/store/books/details?id=_IqkJ4xt3nkC&rdid=book-_IqkJ4xt3nkC&rdot=1&source=gbs_api";"2006-02-21"
"_J5lEAAAQBAJ";"PYTHON";"Python Packages";"NA";"['Tomas Beuzen', 'Tiffany Timbers']";"CRC Press";"Python Packages introduces Python packaging at an introductory and practical level that’s suitable for those with no previous packaging experience. Despite this, the text builds up to advanced topics such as automated testing, creating documentation, versioning and updating a package, and implementing continuous integration and deployment. Covering the entire Python packaging life cycle, this essential guide takes readers from package creation all the way to effective maintenance and updating. Python Packages focuses on the use of current and best-practice packaging tools and services like poetry, cookiecutter, pytest, sphinx, GitHub, and GitHub Actions. Features: The book’s source code is available online as a GitHub repository where it is collaborated on, automatically tested, and built in real time as changes are made; demonstrating the use of good reproducible and clear project workflows. Covers not just the process of creating a package, but also how to document it, test it, publish it to the Python Package Index (PyPI), and how to properly version and update it. All concepts in the book are demonstrated using examples. Readers can follow along, creating their own Python packages using the reproducible code provided in the text. Focuses on a modern approach to Python packaging with emphasis on automating and streamlining the packaging process using new and emerging tools such as poetry and GitHub Actions.";"ISBN_13";1;1;252;"['Computers']";"en";"http://books.google.com/books/content?id=_J5lEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"FOR_SALE";1;0;0;4633.39;"INR";4633.39;"INR";"https://play.google.com/store/books/details?id=_J5lEAAAQBAJ&rdid=book-_J5lEAAAQBAJ&rdot=1&source=gbs_api";"2022-04-20"
"_jEiAQAAMAAJ";"JAVA";"Scientific American";"Supplement";"NA";"NA";"NA";"OTHER";0;1;426;"['Science']";"en";"http://books.google.com/books/content?id=_jEiAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"FREE";1;0;0;0.0;"NA";0.0;"NA";"https://play.google.com/store/books/details?id=_jEiAQAAMAAJ&rdid=book-_jEiAQAAMAAJ&rdot=1&source=gbs_api";"1886"
"_Jz50-f1LnAC";"INSTRUMENTATION";"Instrumentation in Earthquake Seismology";"NA";"['Jens Havskov', 'Gerardo Alguacil']";"Springer Science & Business Media";"Here is unique and comprehensive coverage of modern seismic instrumentation, based on the authors’ practical experience of a quarter-century in seismology and geophysics. Their goal is to provide not only detailed information on the basics of seismic instruments but also to survey equipment on the market, blending this with only the amount of theory needed to understand the basic principles. Seismologists and technicians working with seismological instruments will find here the answers to their practical problems. Instrumentation in Earthquake Seismology is written to be understandable to the broad range of professionals working with seismological instruments and seismic data, whether students, engineers or seismologists. Whether installing seismic stations, networks and arrays, working and calibrating stationary or portable instruments, dealing with response information, or teaching about seismic instruments, professionals and academics now have a practical and authoritative sourcebook. Includes: SEISAN and SEISLOG software systems that are available from http://extras.springer.com and http://www.geo.uib.no/seismo/software/software.html";"ISBN_13";0;1;365;"['Science']";"en";"http://books.google.com/books/content?id=_Jz50-f1LnAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"FOR_SALE";1;0;0;4200.8;"INR";4200.8;"INR";"https://play.google.com/store/books/details?id=_Jz50-f1LnAC&rdid=book-_Jz50-f1LnAC&rdot=1&source=gbs_api";"2010-02-11"
"_KT8nptT_g8C";"SQL";"Real World SQL Server Administration with Perl";"NA";"['Dave Shea']";"Apress";"""SQL Server Administration with Perl"" consists of a series of scenarios covering a wide range of SQL Server administrative topics. These are real-world scenarios that you hear DBAs discussing on the SQL Server forums and newsgroups-scenarios that DBAs run into in their day-to-day development or production environments. Readers will walk away from this book with two things: a DBA toolkit with well over 150 Perl scripts and problem-solving techniques they can apply to create even more tools for attacking other SQL Server administrative problems.";"ISBN_13";0;1;817;"['Computers']";"en";"http://books.google.com/books/content?id=_KT8nptT_g8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"NOT_FOR_SALE";0;0;0;0.0;"NA";0.0;"NA";"NA";"2008-01-01"
"_KtCAQAAMAAJ";"PYTHON";"Man";"NA";"NA";"NA";"NA";"OTHER";0;1;468;"['Anthropology']";"en";"http://books.google.com/books/content?id=_KtCAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"IN";"FREE";1;0;0;0.0;"NA";0.0;"NA";"https://play.google.com/store/books/details?id=_KtCAQAAMAAJ&rdid=book-_KtCAQAAMAAJ&rdot=1&source=gbs_api";"1908"
